cycle, observation, reward, action, explored, explore_rate, total reward, average reward
4837, 1, 0, 1, 0, 9.88131e-324, 3133, 0.647716
4838, 0, 0, 0, 0, 9.88131e-324, 3133, 0.647582
4839, 0, 1, 0, 0, 9.88131e-324, 3134, 0.647654
4840, 0, 1, 0, 0, 9.88131e-324, 3135, 0.647727
4841, 1, 0, 1, 0, 9.88131e-324, 3135, 0.647593
4842, 0, 0, 1, 0, 9.88131e-324, 3135, 0.64746
4843, 0, 0, 1, 0, 9.88131e-324, 3135, 0.647326
4844, 0, 0, 0, 0, 9.88131e-324, 3135, 0.647192
4845, 0, 1, 1, 0, 9.88131e-324, 3136, 0.647265
4846, 0, 0, 1, 0, 9.88131e-324, 3136, 0.647132
4847, 1, 1, 0, 0, 9.88131e-324, 3137, 0.647204
4848, 0, 1, 1, 0, 9.88131e-324, 3138, 0.647277
4849, 0, 0, 0, 0, 9.88131e-324, 3138, 0.647144
4850, 1, 0, 1, 0, 9.88131e-324, 3138, 0.64701
4851, 0, 0, 1, 0, 9.88131e-324, 3138, 0.646877
4852, 0, 0, 0, 0, 9.88131e-324, 3138, 0.646744
4853, 0, 1, 0, 0, 9.88131e-324, 3139, 0.646816
4854, 0, 1, 1, 0, 9.88131e-324, 3140, 0.646889
4855, 0, 0, 0, 0, 9.88131e-324, 3140, 0.646756
4856, 1, 0, 0, 0, 9.88131e-324, 3140, 0.646623
4857, 0, 1, 0, 0, 9.88131e-324, 3141, 0.646695
4858, 0, 1, 0, 0, 9.88131e-324, 3142, 0.646768
4859, 0, 1, 1, 0, 9.88131e-324, 3143, 0.646841
4860, 0, 0, 0, 0, 9.88131e-324, 3143, 0.646708
4861, 0, 1, 0, 0, 9.88131e-324, 3144, 0.64678
4862, 0, 1, 0, 0, 9.88131e-324, 3145, 0.646853
4863, 0, 1, 1, 0, 9.88131e-324, 3146, 0.646926
4864, 0, 0, 0, 0, 9.88131e-324, 3146, 0.646793
4865, 1, 0, 1, 0, 9.88131e-324, 3146, 0.64666
4866, 0, 0, 0, 0, 9.88131e-324, 3146, 0.646527
4867, 0, 1, 0, 0, 9.88131e-324, 3147, 0.6466
4868, 0, 1, 1, 0, 9.88131e-324, 3148, 0.646672
4869, 0, 0, 1, 0, 9.88131e-324, 3148, 0.646539
4870, 0, 0, 0, 0, 9.88131e-324, 3148, 0.646407
4871, 0, 1, 0, 0, 9.88131e-324, 3149, 0.646479
4872, 0, 1, 0, 0, 9.88131e-324, 3150, 0.646552
4873, 0, 1, 0, 0, 9.88131e-324, 3151, 0.646624
4874, 0, 1, 0, 0, 9.88131e-324, 3152, 0.646697
4875, 0, 1, 0, 0, 9.88131e-324, 3153, 0.646769
4876, 1, 0, 1, 0, 9.88131e-324, 3153, 0.646637
